speaker;max_listening_speed;speaker_speed_feeling
caplan;2;7
collison;2,5;7,6
econ_talk_host;2,25;5,4
econ_talk_interviewed;2,1;6,5
galef;2;6,9
hart;2,35;3,5
manifold_host_1;2;6
musk;2,05;6,2
ord;1,9;7,1
rogan;2,45;7
ssc;1,9;4
todd;1,9;6
tyler;2,55;4
wiblin;1,68;7,7
